省份,城市,区,街道,社区,道路,小区
重庆市,重庆市,大渡口区,,,建肖路与钓鱼嘴大道交叉口西180米,绿地·听江左岸
重庆市,重庆市,大渡口区,,,钓鱼嘴大道与建肖路交叉口西北240米,绿地城-听江左岸北区
重庆市,重庆市,大渡口区,,,大滨中路1166号,中洲·半岛城邦
重庆市,重庆市,大渡口区,,,星港路与清澜路交叉口东北260米,焦化一村小区
重庆市,重庆市,大渡口区,,,龙渡路与海石路交叉口北160米,五洲世纪
重庆市,重庆市,大渡口区,,,二纵线辅路与二纵线出口交叉口西340米,金地自在城
重庆市,重庆市,大渡口区,,,景雅路11号,金地自在城锦苑
重庆市,重庆市,大渡口区,,,景雅路与湾塘路交叉口东北220米,金地自在城艺境宸苑
重庆市,重庆市,大渡口区,,,湾龙路28号,金地自在城艺境博苑
重庆市,重庆市,大渡口区,,,福美路与福庭路交叉口东80米,联发西城首府一期
重庆市,重庆市,大渡口区,,,福庭路与福美路交叉口西北140米,联发西城首府二期
重庆市,重庆市,大渡口区,,,,荣安·林语春风
重庆市,重庆市,大渡口区,,,华福大道北段石龙小区东侧,金地自在城艺境雅苑(建设中)
重庆市,重庆市,大渡口区,,,腾源路18号,凰腾·西宸昱府
重庆市,重庆市,大渡口区,,,金凤南路与金凤支路交叉口南180米,天泰·凤阳小镇南区
重庆市,重庆市,大渡口区,,,,天泰·凤阳小镇
重庆市,重庆市,大渡口区,,,建胜镇绿地路-绿地城,绿地城1期
重庆市,重庆市,大渡口区,,,西城大道999号,绿地城
重庆市,重庆市,大渡口区,,,钓鱼嘴大道96号,龙桥花苑二组团
重庆市,重庆市,大渡口区,,,钓鱼嘴大道与福田路交叉口东南140米,龙桥花苑三区
重庆市,重庆市,大渡口区,,,绿地路525号,绿地城2期
重庆市,重庆市,大渡口区,,,茄子溪正街附近,龙桥花苑
重庆市,重庆市,大渡口区,,,铜鼓路与钓鱼嘴大道交叉口西240米,龙桥花苑五区
重庆市,重庆市,大渡口区,,,建胜镇龙桥花苑4组团东南龙桥花苑四区4幢(钓鱼嘴大道),龙桥花苑四区
重庆市,重庆市,大渡口区,,,钓鱼嘴大道与燕安路交叉口东南280米,龙桥花苑四区-和美楼
重庆市,重庆市,大渡口区,,,中顺大道与白居寺长江大桥交叉口东南160米,安玻楼
重庆市,重庆市,大渡口区,,,金阳路226号,半岛佳园E区
重庆市,重庆市,大渡口区,,,金阳路230号,半岛佳园D区
重庆市,重庆市,大渡口区,,,金阳路234号,半岛佳园C区
重庆市,重庆市,大渡口区,,,福溪大道268号,卓越西麓九里西苑
重庆市,重庆市,大渡口区,,,伏牛大道与福溪大道交叉口北180米,卓越西麓九里
重庆市,重庆市,大渡口区,,,福溪大道与伏牛大道交叉口东北200米,卓越西麓九里东苑
重庆市,重庆市,大渡口区,,,甘霖路与金湾路交叉口东220米,半岛逸景B组团
重庆市,重庆市,大渡口区,,,八桥镇金湾路50号,半岛乐园
重庆市,重庆市,大渡口区,,,金湾路与藕田路交叉口西北80米,半岛逸景
重庆市,重庆市,大渡口区,,,甘霖路与金阳路交叉口东北100米,渝馨家园
重庆市,重庆市,大渡口区,,,金泰路与藕田路交叉口东南180米,半岛逸景三组团
重庆市,重庆市,大渡口区,,,藕田路与金泰路交叉口西60米,半岛逸景一组团
重庆市,重庆市,大渡口区,,,金泰路与藕田路交叉口南40米,大渡口公租房
重庆市,重庆市,大渡口区,,,白家湾立交与福溪大道交叉口西260米,西城佳园
重庆市,重庆市,大渡口区,,,金湾路101号,半岛逸景A组团
重庆市,重庆市,大渡口区,,,金泰路1号,半岛逸景二组团
重庆市,重庆市,大渡口区,,,兴盛路383号,融创春晖十里御峰庭
重庆市,重庆市,大渡口区,,,兴盛路321号,融创春晖十里雍和府
重庆市,重庆市,大渡口区,,,金桥路12号,融创春晖十里
重庆市,重庆市,大渡口区,,,茄子溪街道,融创春晖十里7号院
重庆市,重庆市,大渡口区,,,钢城大道融创春晖十里,融创钓鱼台
重庆市,重庆市,大渡口区,,,兴盛路与钢城大道交叉口西140米,融创春晖十里岚峰庭
重庆市,重庆市,大渡口区,,,兴盛路200号,融创春晖十里雍江府
重庆市,重庆市,大渡口区,,,金桥路562号,刘家坝社区
重庆市,重庆市,大渡口区,,,四达路15号,惠丰居
重庆市,重庆市,大渡口区,,,兴盛路200号,融创春晖十里雍璟府
重庆市,重庆市,大渡口区,,,茄子溪立交与建胜街交叉口北280米,制材二村
重庆市,重庆市,大渡口区,,,茄子溪立交与建胜街交叉口北180米,茄子溪新港社区
重庆市,重庆市,大渡口区,,,四达路与福田路交叉口东300米,静江花园东区
重庆市,重庆市,大渡口区,,,四达路与福田路交叉口东北100米,静江花园西区
重庆市,重庆市,大渡口区,,,五畅路与尚启路交叉口西140米,三号地块
重庆市,重庆市,大渡口区,,,凉水井路,荣盛·观麟郡璟园
重庆市,重庆市,大渡口区,,,五畅路160号,荣盛城观云郡·云景
重庆市,重庆市,大渡口区,,,来龙路与互安路交叉口南140米,云逸7号地
重庆市,重庆市,大渡口区,,,伏牛大道与互安路交叉口西南120米,荣盛·观云郡云逸
重庆市,重庆市,大渡口区,,,五畅路195号,云莱小区
重庆市,重庆市,大渡口区,,,伏牛大道与五畅路交叉口南140米,荣盛·观云郡花漾里组团西区
重庆市,重庆市,大渡口区,,,互安路与来龙路交叉口西340米,荣盛·观麟郡
重庆市,重庆市,大渡口区,,,尚源路66号,铭鑫.鼎尚源
重庆市,重庆市,大渡口区,,,互安路与来龙路交叉口西320米,荣盛·观麟郡7号地块
重庆市,重庆市,大渡口区,,,西城大道与加油站交叉口西南200米,鑫瑞乐居小区南区
重庆市,重庆市,大渡口区,,,五福路,恒大麓山湖二期
重庆市,重庆市,大渡口区,,,275鑫瑞乐居站,鑫瑞乐居小区
重庆市,重庆市,大渡口区,,,西城大道与建桥大道交叉口西南300米,华宇金科锦绣原麓
重庆市,重庆市,大渡口区,,,五盛路与凤祥路交叉口东北140米,恒大麓山湖四期
重庆市,重庆市,大渡口区,,,鑫康路附近,鑫瑞乐居小区北区
重庆市,重庆市,大渡口区,,,五畅路195号,荣盛·观云郡公园里组团
重庆市,重庆市,大渡口区,,,内环城区快速路与大渡口立交交叉口西南120米,八一新村
重庆市,重庆市,大渡口区,,,伏龙路与五畅路交叉口西北120米,观云郡4号地块
重庆市,重庆市,大渡口区,,,五畅路与伏龙路交叉口西北160米,荣盛·观云郡观天下
重庆市,重庆市,大渡口区,,,铜桥路与建桥大道交叉口东北220米,康田栖樾-南区
重庆市,重庆市,大渡口区,,,大渡口西滨路(滨江路建桥大道入口处),康田栖樾
重庆市,重庆市,大渡口区,,,铂桥路56号,新城琅樾江山
重庆市,重庆市,大渡口区,,,内环城区快速路与大渡口立交交叉口东南200米,康田栖樾-北区
重庆市,重庆市,大渡口区,,,内环城区快速路与大渡口立交交叉口南280米,康田栖棠观樾
重庆市,重庆市,大渡口区,,,大滨中路,华宇锦绣玺岸
重庆市,重庆市,大渡口区,,,双溪二路与双溪路交叉口东南180米,金地·格林春岸2期
重庆市,重庆市,大渡口区,,,双溪二路与双溪路交叉口西南180米,金地·格林春岸1期
重庆市,重庆市,大渡口区,,,滨中路与内环快速交叉路口往北约200米大渡口区大滨中路,金地·格林春岸
重庆市,重庆市,大渡口区,,,大渡口立交与银桥路辅路交叉口东北200米,西派宸樾一期
重庆市,重庆市,大渡口区,,,内环城区快速路与新华立交交叉口西440米,重庆欧洲小镇
重庆市,重庆市,大渡口区,,,华九路7号,荣盛·九珑府
重庆市,重庆市,大渡口区,,,互安路与来龙路交叉口东北280米,观云郡2期
重庆市,重庆市,大渡口区,,,互安路与来龙路交叉口东北240米,九号地块
重庆市,重庆市,大渡口区,,,伏牛大道200号,荣盛·观云郡云珑
重庆市,重庆市,大渡口区,,,翠柏路99号(天堂堡地铁站1号口步行410米),秋实景苑
重庆市,重庆市,大渡口区,,,凤祥路北段与新九中路辅路交叉口东南260米,华仁·万有广场2区
重庆市,重庆市,大渡口区,,,天安数码城一期四栋八楼802,天阙楼
重庆市,重庆市,大渡口区,,,松青路1106号,鑫瑞福居小区
重庆市,重庆市,大渡口区,,,松青路1060号,柏华教师楼
重庆市,重庆市,大渡口区,,,春晖路街道翠柏路98号(新山村地铁站出入口步行380米),秋实春华
重庆市,重庆市,大渡口区,,,春晖路街道春晖路96号,渝港花园
重庆市,重庆市,大渡口区,,,春晖路88号香港城旁(新山村地铁站出入口步行410米),华庭紫苑
重庆市,重庆市,大渡口区,,,天堂堡地铁站1号口步行470米,华仁·万有广场
重庆市,重庆市,大渡口区,,,梦中七彩梯,八桥镇互助村九组
重庆市,重庆市,大渡口区,,,钢花路与百花路交叉口南160米,和爱嘉园
重庆市,重庆市,大渡口区,,,钢花路1121号1幢,顶福天际
重庆市,重庆市,大渡口区,,,思源路5号,建桥·揽江阁
重庆市,重庆市,大渡口区,,,钢花路1056号,中冶·城邦国际
重庆市,重庆市,大渡口区,,,百花村隧道与义江路交叉口南260米,天安·江畔珑园一期
重庆市,重庆市,大渡口区,,,思源路与钢花路交叉口东南100米,卢山·锦程
重庆市,重庆市,大渡口区,,,筑梦大道1938号,中绿江州A区
重庆市,重庆市,大渡口区,,,钢花路1083号,金科中建博翠长江
重庆市,重庆市,大渡口区,,,九宫庙湖榕路77号,湖榕瑞苑
重庆市,重庆市,大渡口区,,,湖榕路75号,湖榕锦苑
重庆市,重庆市,大渡口区,,,义渡路与善江路交叉口西南120米,中绿江州C区
重庆市,重庆市,大渡口区,,,义江路与善江路交叉口北100米,华宇春江明月
重庆市,重庆市,大渡口区,,,梓塘路27号,金科星辰一期
重庆市,重庆市,大渡口区,,,迎宾大道辅路与双山路交叉口西南220米,朵力·迎宾大道一期
重庆市,重庆市,大渡口区,,,御桥路65号,金科星辰
重庆市,重庆市,大渡口区,,,双山路183号,桥隆和锦苑
重庆市,重庆市,大渡口区,,,御桥路65号,金科星辰二期
重庆市,重庆市,大渡口区,,,双山路187号,朵力·迎宾大道
重庆市,重庆市,大渡口区,,,金塘路35号,金科星辰三期
重庆市,重庆市,大渡口区,,,金塘路97号,朵力·迎宾大道二期
重庆市,重庆市,大渡口区,,,双山路与迎宾大道辅路交叉口东北200米,雅居乐·御宾府西区
重庆市,重庆市,大渡口区,,,双城路199号,雅居乐·御宾府
重庆市,重庆市,大渡口区,,,陈庹路666号,晋愉绿岛
重庆市,重庆市,大渡口区,,,翠柏路与翠华街交叉口西320米,晋愉绿岛映像
重庆市,重庆市,大渡口区,,,翠柏路78-13号(大渡口地铁站2号口步行430米),天使花园
重庆市,重庆市,大渡口区,,,西城大道(原陈庹路666号),晋愉绿岛蓝溪
重庆市,重庆市,大渡口区,,,晋愉绿岛,晋愉绿岛云间
重庆市,重庆市,大渡口区,,,春晖路58号(大渡口地铁站2号口步行180米),园丁小区
重庆市,重庆市,大渡口区,,,翠柏路88号,翠柏小区
重庆市,重庆市,大渡口区,,,春晖路62号(大渡口地铁站2号口步行170米),翠华园小区
重庆市,重庆市,大渡口区,,,双林路与双山路交叉口南420米,林畔小区
重庆市,重庆市,大渡口区,,,西城大道666号(绿岛中央公园内),晋愉·林畔神韵
重庆市,重庆市,大渡口区,,,重钢大学生宿舍(大渡口公园东南),东风村
重庆市,重庆市,大渡口区,,,钢花公交车站北侧50米,长河原
重庆市,重庆市,大渡口区,,,钢花路405-2号,钢花小区
重庆市,重庆市,大渡口区,,,文体路与文体支路交叉口东南60米,锁口丘
重庆市,重庆市,大渡口区,,,钢花路507号附1号,广厦御景龙庭
重庆市,重庆市,大渡口区,,,新山村文体路89号,顺祥·壹街区B区
重庆市,重庆市,大渡口区,,,翠园路与湖滨路交叉口东80米,万象城C区
重庆市,重庆市,大渡口区,,,钢花路326号,铺金昊城
重庆市,重庆市,大渡口区,,,文体路88号,顺祥·壹街区
重庆市,重庆市,大渡口区,,,新山村368号,友谊大厦
重庆市,重庆市,大渡口区,,,跃进路638号,蓝光御江台二期
重庆市,重庆市,大渡口区,,,钢铁路与筑梦大道交叉口西北200米,光明社区
重庆市,重庆市,大渡口区,,,跃进路638号,蓝光御江台
重庆市,重庆市,大渡口区,,,华园路14号,盛世龙都B区
重庆市,重庆市,大渡口区,,,八桥镇双城路4号4栋29-1,盛世龙都
重庆市,重庆市,大渡口区,,,双城路4号,盛世龙都A区
重庆市,重庆市,大渡口区,,,双林路6号(巴国城旁),朵力品道
重庆市,重庆市,大渡口区,,,,晋愉·天意
重庆市,重庆市,大渡口区,,,山河路9号,中豪公园尚城
重庆市,重庆市,大渡口区,,,八桥镇九龙园红狮大道(巴国城后门),中交·丽景1期
重庆市,重庆市,大渡口区,,,双龙路6号,中交·丽景
重庆市,重庆市,大渡口区,,,双园路2-附86号,探家中交丽景一期店大渡口区双龙路2号附82号
重庆市,重庆市,大渡口区,,,双龙路1号,中交万都汇
重庆市,重庆市,大渡口区,,,双园路1号,中交公元时光
重庆市,重庆市,大渡口区,,,火炬大道8号(巴国城旁),保利·可爱岛
重庆市,重庆市,大渡口区,,,诗情路1号,东海·阿特豪斯
重庆市,重庆市,大渡口区,,,八桥镇双水路2号,晋愉·盛世融城D区
重庆市,重庆市,大渡口区,,,双龙路3号,中交·丽景香悦岭
重庆市,重庆市,大渡口区,,,双龙路6号,中交·丽景香漫岭
重庆市,重庆市,大渡口区,,,共建路与共建二支路交叉口西南40米,大堰二村
重庆市,重庆市,大渡口区,,,共建路61-3-4号附近,朵力·欣元A区
重庆市,重庆市,大渡口区,,,共建路与共建一支路交叉口西南60米,朵力·欣元
重庆市,重庆市,大渡口区,,,钢花路与共建二支路交叉口西南220米,大堰三村
重庆市,重庆市,大渡口区,,,共建路62号,朵力·欣元B区
重庆市,重庆市,大渡口区,,,建设村37号(平安地铁站1号口步行200米),静寓花园
重庆市,重庆市,大渡口区,,,钢花路27号,云岭天城
重庆市,重庆市,大渡口区,,,双山路58号(平安地铁站2号口步行170米),百禾星宿
重庆市,重庆市,大渡口区,,,大渡口重庆市大渡口钢花路66号(轻轨平安站),新宝龙易城
重庆市,重庆市,大渡口区,,,钢花路建设车站平安轻轨站旁,革新村
重庆市,重庆市,大渡口区,,,杨渡路639号,中交那里
重庆市,重庆市,大渡口区,,,跃进村街道跃进路,渝新花园
重庆市,重庆市,大渡口区,,,跃进路与跃进支路交叉口东60米,大渡口区堰兴社区
重庆市,重庆市,大渡口区,,,跃进村街道大堰一村54栋旁,大堰社区
重庆市,重庆市,大渡口区,,,跃进路重庆商务学校(94中)a区,大堰一村
重庆市,重庆市,大渡口区,,,跃进路588号,蓝光御江台1期
重庆市,重庆市,大渡口区,,,跃进路269号,金立·园丁小区
